869 75684
859 27 73316
705 394 40692
664 453 61552
785 431 78341
396 665 75989
438 648 92799
173 41 52213
340 762 11255
813 395 47932
447 864 81969
82 806 75631
303 420 20001
618 503 83005
69 823 55273
366 827 95520
316 241 71053
243 294 48016
607 635 24722
445 398 17656
124 388 37947
213 180 70232
826 375 65618
582 635 84611
271 70 10742
691 219 63994
678 62 97747
223 166 40629
833 114 81490
101 526 71889
444 841 21263
792 482 69053
710 798 99707
597 1 92136
56 668 21383
793 38 68065
34 483 14383
865 288 81674
454 823 20800
664 204 2633
65 270 29557
16 403 93805
498 250 92894
767 623 73213
660 735 59375
380 77 4297
679 205 53412
480 833 3490
423 470 55007
170 77 63164
265 855 2945
538 81 62296
348 76 79870
19 246 32037
53 652 71913
219 222 16350
709 274 75115
50 515 57207
375 441 40193
783 855 95468
597 346 89869
388 672 63123
461 347 4213
446 112 21581
258 396 18997
460 564 34132
159 271 76973
555 449 90996
336 853 25112
809 161 20565
287 479 89279
500 763 32911
125 170 75314
174 97 81322
90 459 98245
717 202 82800
169 318 92275
224 796 21677
663 346 17610
457 481 38330
147 102 89698
747 653 13913
497 437 83392
798 327 95950
812 458 56894
779 67 4134
841 702 50734
809 57 78719
434 250 27082
279 681 84351
338 644 91088
116 595 84544
655 310 38812
458 663 87104
198 205 5656
298 554 12507
511 735 34823
814 159 17309
318 1 63381
164 375 52099
869 860 2558
209 259 50579
779 359 46604
774 181 91735
115 281 29761
695 604 90255
644 833 76279
760 861 31407
10 599 83756
625 85 43245
493 40 83954
590 627 49560
539 609 59935
306 178 70434
622 728 73894
731 201 55629
505 728 4391
235 275 83627
452 31 96094
401 10 60210
264 817 84618
241 132 43628
228 223 29426
415 14 9048
160 856 58066
404 447 39893
854 312 88022
169 586 60574
283 524 92838
499 574 68635
37 559 19685
708 551 75923
91 82 84966
137 253 92069
444 262 21830
780 337 88137
216 234 94869
396 663 98270
653 533 42889
777 262 75119
541 645 1029
172 802 72235
14 655 81730
747 782 93286
644 575 17263
311 624 13690
179 618 7849
685 487 36128
287 660 33197
803 869 53178
193 493 93904
453 821 99899
475 378 62945
602 199 85854
334 748 5934
42 515 5748
716 203 82850
559 813 99951
21 381 73547
500 79 55751
549 728 12872
48 707 84786
472 832 33958
26 444 48031
120 391 38122
827 189 60203
199 540 73942
764 497 27390
593 786 7809
217 631 21974
519 678 47145
320 412 51152
637 262 19118
869 814 11580
260 621 79937
761 451 60056
43 630 74718
523 588 44392
644 343 4455
4 311 88192
420 606 67380
681 156 41464
586 280 29012
393 262 97469
511 862 24141
401 83 6388
365 370 51381
367 25 3113
181 593 92584
10 418 42259
264 814 33931
712 349 49815
785 83 42018
366 782 11281
323 561 2004
209 454 98245
815 784 82446
785 600 84311
725 41 74590
393 143 1647
392 622 7165
412 727 16578
385 667 38353
820 234 50314
820 854 61269
182 358 73441
827 682 47571
111 288 7498
3 470 45187
576 788 39577
676 719 83065
477 467 7136
733 815 25023
497 751 16300
799 226 67315
816 85 81265
823 392 18575
750 584 86885
399 786 28121
835 155 71294
128 626 70070
423 165 94763
10 712 44281
867 279 33493
457 313 94149
231 241 91012
399 614 6264
414 853 50758
509 579 74154
311 284 46635
597 415 50252
45 743 55314
71 765 32200
269 680 38022
784 358 3010
63 685 3326
72 853 61559
238 539 93454
420 28 84004
702 67 93420
104 159 35518
781 250 77611
734 126 42045
867 285 73306
411 72 9273
148 210 45203
316 149 69596
16 160 16697
161 167 85501
238 844 88324
256 615 80576
573 435 14051
5 398 34216
747 109 25756
575 121 82907
312 798 23038
504 661 28720
332 727 53334
792 94 69715
120 12 64058
748 232 54472
43 158 21865
226 818 51917
311 778 26712
854 706 94729
240 698 35644
33 301 1334
208 328 95310
57 493 93638
806 824 63199
737 245 51158
195 217 74885
533 142 42777
143 810 63023
631 666 66151
133 800 26633
702 476 57368
282 367 9706
298 667 75028
619 787 90528
313 304 34872
673 423 24222
734 400 1814
868 494 78647
579 647 26367
5 365 69734
42 652 62290
739 625 3031
132 678 17107
417 665 72220
335 522 1159
354 529 91135
334 818 58157
794 72 61418
528 316 62011
816 201 5540
429 30 178
656 387 85108
8 620 34663
480 395 76445
547 791 19090
812 330 18771
557 341 42533
389 371 29603
852 306 18021
796 695 90694
835 262 33521
115 754 50772
211 507 98125
235 237 99634
774 67 12419
733 18 42653
29 823 67008
711 583 93023
108 608 45631
224 192 23378
589 615 69352
330 415 29540
866 367 29414
615 338 23455
6 597 21921
200 68 98099
849 403 8199
753 770 34264
833 372 55246
489 295 91731
863 8 81719
592 393 98098
87 861 47621
373 824 52744
236 649 64646
485 377 27286
785 246 13320
10 550 67396
627 6 27779
142 118 76443
107 210 58671
436 355 13339
823 17 59775
608 13 61081
782 334 50250
839 316 60962
176 781 1264
614 157 34953
296 100 79606
111 97 48159
745 590 82032
361 814 53046
850 168 78840
830 753 41275
359 429 21474
496 573 26533
131 217 80153
40 341 90888
72 51 98134
421 601 81658
265 528 79478
23 327 86949
569 507 26397
138 543 22334
588 842 82259
376 65 51801
402 397 7458
32 408 80154
501 528 59151
789 861 72692
343 616 62050
142 98 80068
320 649 43929
48 174 5943
317 102 29355
103 629 3330
245 349 68333
815 210 36189
332 861 53588
536 825 65281
663 276 82009
179 123 47574
393 774 919
672 267 93706
102 681 80539
261 518 9074
377 508 61975
730 813 14923
422 374 50058
324 696 39622
402 34 7925
186 788 82275
441 177 43046
809 147 32992
291 9 52485
281 814 1399
249 358 7398
141 665 98206
435 34 58757
659 787 20813
619 288 47472
293 115 85256
818 751 11104
297 126 89994
41 819 85823
464 81 69492
803 127 77393
30 187 65580
663 105 11588
307 837 54249
854 289 16691
255 330 48637
442 579 95605
295 160 608
721 373 91648
471 500 49282
613 686 73724
268 832 25373
233 581 85881
282 811 92584
447 77 22262
455 523 76146
4 213 7389
866 453 80737
141 53 39403
429 739 74583
229 419 97130
589 384 20839
158 652 83647
194 585 78604
230 615 53286
642 445 82893
160 329 66079
55 297 65752
849 47 33959
784 234 13262
500 496 12910
353 284 66605
410 766 42866
100 788 64655
658 678 59377
759 530 71568
347 112 67461
149 799 74646
742 162 61237
40 429 77078
865 620 41077
294 322 42610
265 212 29965
505 460 3940
452 14 24618
861 343 94833
137 210 99362
533 69 28160
542 320 51110
705 424 88014
166 219 15531
214 787 27115
142 500 26538
498 445 9368
430 268 39932
700 861 2038
178 54 26094
626 171 27962
710 415 16870
179 401 52003
845 133 57520
310 663 15123
126 804 6331
605 593 83895
365 221 6548
351 3 22753
523 80 93398
847 112 76239
794 324 12670
583 412 20179
281 444 31602
571 678 65317
656 569 72126
85 631 49993
211 12 26292
388 95 89302
578 696 83099
404 244 33142
249 773 22297
776 447 15646
486 495 46742
356 126 61252
430 161 87738
517 96 26143
718 455 85049
808 222 99009
414 558 38054
233 192 18896
324 831 19045
459 26 2740
664 388 23091
620 312 13444
74 565 52561
146 737 41145
217 462 58899
750 859 12275
162 823 95971
192 250 55252
324 278 31266
180 540 45003
501 441 99286
39 258 71087
670 310 80082
668 241 99830
314 583 60405
660 166 80089
72 200 95160
232 258 68008
487 128 61176
533 475 11347
547 784 67751
489 787 74638
553 804 17284
207 756 16248
600 726 56280
441 744 6870
71 448 46864
204 714 50626
389 247 66644
231 72 32984
524 450 76102
456 786 22786
754 565 39751
460 206 80091
248 510 73
215 553 9075
704 159 46235
285 703 22356
457 589 90723
839 146 75073
676 337 81236
846 224 88528
35 672 13264
727 675 52692
787 723 42891
531 450 90595
92 148 53691
27 158 36363
237 62 24575
716 183 24062
803 431 80488
146 130 19765
104 714 49181
160 178 52701
206 812 53351
748 530 60541
649 697 85769
120 448 40932
746 614 94023
689 333 9815
591 853 18217
379 271 41164
626 314 37499
825 628 14094
667 506 21809
170 636 3279
827 349 62220
587 869 31155
848 635 15460
363 414 41887
517 681 28983
251 79 19544
484 34 18507
433 713 77469
531 299 72411
136 826 96707
33 648 73738
18 1 15833
88 418 45368
722 791 26870
712 495 31532
221 159 15010
850 373 16880
307 854 8014
783 37 20927
843 795 64272
111 89 2765
764 546 18623
162 387 87745
510 37 50699
374 603 82251
302 324 37241
241 161 94920
622 596 75014
536 432 51488
609 361 46453
359 832 33679
22 499 42710
166 269 94033
77 483 83480
210 332 85465
512 496 83759
494 647 52024
708 499 61248
271 691 53805
702 771 92813
291 94 73516
165 214 66108
25 286 74150
28 221 19447
674 516 44384
402 864 3082
443 738 47842
799 581 59865
639 282 94147
790 628 82510
258 54 87751
334 788 88024
838 138 79763
331 151 89735
366 450 51592
686 374 93245
670 202 53663
301 656 66781
280 89 41262
33 374 59619
63 53 4489
180 709 51689
282 818 4431
374 85 44870
506 738 74498
271 146 10904
55 123 64356
550 511 26488
150 264 47954
627 746 13445
157 125 44847
557 831 25509
169 379 93355
280 645 91734
538 257 38240
402 805 54759
70 763 27233
519 496 94504
11 272 31948
54 155 86432
586 483 41810
253 141 83721
727 742 23095
585 646 83651
568 726 13831
767 32 39573
504 746 36495
829 624 31926
422 368 27749
482 284 7972
696 588 4445
474 483 21059
83 296 82391
449 851 10838
202 65 28628
839 586 54896
271 524 12814
50 725 26090
133 604 30416
677 503 14701
394 146 15043
245 319 7029
615 102 58142
362 552 10658
433 469 53665
490 536 96505
828 660 23938
616 169 2170
565 797 38507
704 227 43480
858 302 77969
280 82 49444
419 718 96517
190 461 87863
628 450 82344
457 205 3868
671 664 85230
337 315 44442
17 97 64557
283 704 49836
347 274 89467
745 803 68836
759 598 14605
57 635 12742
688 775 18776
177 782 25699
26 500 92036
827 641 7740
139 66 19012
580 349 95605
87 613 70701
110 224 4248
842 791 85252
405 840 22277
769 502 52165
314 625 2339
165 261 2871
653 751 24282
256 109 6095
305 700 99667
281 241 77595
825 201 83692
211 43 97742
676 586 67828
349 773 9512
656 711 31774
255 704 25476
716 334 93203
489 696 81958
107 672 60950
554 38 65296
434 416 14560
780 170 34509
265 851 10565
267 339 88553
79 145 77529
348 845 33431
497 742 41816
180 790 64904
690 750 12463
114 734 55921
358 51 43947
57 691 17137
341 454 21670
408 511 47550
97 109 61739
401 174 24159
708 70 24002
61 132 52590
835 217 31735
45 247 19068
525 380 73503
497 604 97299
848 267 58513
541 446 55727
139 549 42528
689 7 6501
735 857 70581
433 795 58590
705 82 54529
696 142 23124
620 604 28013
253 745 81877
507 382 96123
358 806 61652
473 601 49519
551 514 28597
210 95 25389
593 131 29963
302 762 75091
505 357 14492
691 97 53874
106 758 66468
410 465 32360
516 51 46285
482 46 36541
628 74 63764
593 608 19181
300 98 54099
33 543 70724
470 573 24774
741 436 53485
336 688 64304
824 452 69303
382 42 83361
296 75 54604
484 467 60326
545 10 91014
656 819 90740
466 806 11356
195 310 93384
497 564 76496
461 392 97897
205 224 4987
666 178 84465
212 717 53025
824 614 50499
412 850 70992
37 763 55663
697 170 60750
563 320 64151
545 580 95156
583 422 78920
536 64 69585
497 129 28135
860 739 55677
381 430 35275
819 39 74619
378 315 62126
264 337 82835
182 297 75085
295 658 54207
33 329 19046
276 185 62187
646 280 788
802 614 13189
274 681 63898
54 142 56134
587 709 82463
512 221 2097
18 669 7804
87 245 63358
428 505 587
568 725 88064
734 140 25145
688 290 47654
814 523 56912
147 677 93408
227 820 32527
543 172 66820
747 421 92402
373 386 86397
392 540 93424
320 647 3782
824 845 5761
809 346 98041
106 236 41415
648 380 40681
475 462 42706
815 136 75165
110 625 87879
777 194 56246
675 396 79214
348 59 46039
661 437 56141
734 255 97664
595 482 92601
513 854 4902
617 710 50430
283 268 92759
329 197 58417
547 706 30327
30 81 76247
806 41 51084
133 712 83500
246 639 67695
435 215 37263
393 519 43159
451 450 54334
431 369 6679
812 288 89239
484 315 64398
528 311 40202
120 791 15919
164 437 38724
788 256 57899
657 772 25558
436 356 68149
541 94 94068
126 165 96165
817 641 46927
24 195 60866
206 276 55242
848 381 17131
479 783 61310
288 50 38836
180 218 10509
850 454 29747
401 79 54004
564 742 23953
750 811 11420
144 540 91851
52 317 29143
761 442 6979
37 718 40581
559 370 91147
760 66 6256
538 811 28492
123 769 24365
517 279 95666
321 365 88509
114 543 75518
172 490 91449
116 65 7514
191 344 64357
707 133 30755
106 24 86529
126 362 2870
274 388 15098
538 30 81897
295 649 74830
202 193 71373
245 668 82477
13 638 16888
179 833 68082
146 545 18229
113 296 26806
631 470 78401
110 659 83491
471 477 2628
718 738 31701
220 416 4020
511 768 31900
428 566 8090
339 709 98161
415 29 96854
11 80 3307
702 21 72930
379 805 28421
240 67 82985
43 342 64063
843 684 42519
361 860 33064
314 50 97692
784 858 64304
789 713 50080
630 257 82552
849 265 72004
519 32 51778
855 237 29708
276 494 95890
88 807 96589
177 639 68194
585 306 33992
139 817 22804
284 89 1713
538 441 5059
437 594 60366
641 757 92340
456 444 11623
262 417 50756
188 629 89403
792 297 81981
502 38 43585
355 87 18482
612 435 55859
624 715 33950
642 515 70861
812 206 33891
228 111 43147
254 87 11249
719 2 50050
424 111 51613
522 389 73101
529 23 99087
799 425 13771
283 758 80868
123 110 30393
432 656 81950
372 487 85301
113 538 58685
542 528 6474
132 345 14874
498 611 15243
392 566 22344
770 289 61470
525 292 35466
478 462 67399
184 159 95430
99 227 82672
513 171 80234
421 127 24344
48 116 71983
325 732 43760
381 171 17726
744 612 35048
669 497 31479
452 479 9532
13 518 18686
291 52 49621
18 537 99504
411 616 83940
107 117 22594
105 47 42257
553 230 81846
559 552 30097
406 5 45710
417 283 31883
434 194 59776
294 418 45413
281 509 88964
293 292 3060
856 731 3883
483 64 37214
249 518 84680
127 730 59727
470 213 74180
776 340 13827
119 808 54939
807 755 28487
223 381 17484
543 702 64455
267 281 5064
393 264 48546
743 637 17746
292 30 12916
372 359 69487
71 768 61011
605 441 81124
233 832 84338
128 819 88923
622 69 33103
100 591 2842
423 844 96454
758 551 70668
681 277 1806
706 382 54304
768 156 44287
327 200 42725
791 87 81764
292 154 73166
68 754 59158
402 312 4586
116 310 77420
747 491 8672
840 277 1066
231 729 82492
34 708 30722
228 383 64861
551 466 39008
587 151 46618
257 848 126
859 736 377
378 819 80866
130 576 45971
689 438 19164
502 596 20696
392 196 43095
206 37 32377
310 460 4785
121 483 96098
269 77 10849
477 98 12159
730 95 58385
394 28 16777
285 96 73082
566 14 21020
750 399 79150
231 44 20210
422 454 20763
394 839 6037
149 773 95380
770 283 70947
644 243 40340
750 736 31406
630 157 81964
299 674 81364
96 457 56447
539 694 18475
542 692 47986
318 736 13753
192 672 24537
662 113 6958
291 194 53983
126 717 81150
223 698 38671
420 328 57176
252 248 38931
756 643 13808
247 683 78054
320 654 58997
734 674 61646
557 612 54232
167 246 46120
544 218 60361
604 762 62024
372 820 65389
679 619 59971
259 599 93873
39 684 33261
800 333 47296
352 526 39189
717 636 51116
21 702 17246
216 46 90776
291 464 20539
262 208 38908
105 285 16105
678 512 9644
860 754 36655
576 157 87503
795 538 24150
190 262 86051
355 364 30273
485 137 86878
120 555 16451
34 755 92029
333 800 26847
606 534 96662
136 198 58895
340 192 93808
370 80 42180
185 822 40137
368 617 52459
163 232 78568
31 738 19809
109 652 94942
350 383 36685
321 248 49892
755 319 87968
6 583 27843
272 576 39407
533 713 96232
504 216 49144
494 861 11204
773 71 81290
372 677 78294
688 736 79863
73 443 30972
17 669 21227
145 532 65849
439 817 56353
370 9 20749
790 822 87921
319 771 22283
731 192 94054
352 211 88728
146 258 54694
595 47 21825
546 468 15647
420 101 85042
861 383 1837
622 427 53789
758 234 30121
767 321 12739
754 675 74345
264 143 85334
260 693 72655
235 325 88051
87 505 93441
551 512 2844
601 235 97489
523 277 47080
226 115 90696
44 272 4908
527 749 87546
482 812 65498
32 800 83634
601 754 66615
117 119 13173
752 351 6568
92 68 22892
213 655 69821
644 853 79049
10 515 21447
310 692 59127
306 621 32949
771 652 50129
350 136 13077
514 76 95220
292 539 25906
351 269 9351
264 781 98759
621 20 93120
9 187 47273
587 720 11788
125 653 93824
59 624 38658
774 465 89572
556 682 56005
201 20 76550
295 7 44986
331 507 45825
588 547 52702
850 661 65925
830 535 8017
701 735 77798
7 818 80553
384 253 55430
567 463 27727
377 3 26940
459 62 1579
628 845 6963
31 310 84353
799 617 25575
92 481 41853
826 4 16958
140 454 59622
522 796 30364
495 384 10470
288 34 24140
396 849 92102
461 757 19310
379 100 32779
462 384 77608
319 104 56097
653 465 7515
756 526 99638
410 792 55045
733 44 63978
72 518 41797
817 139 37746
216 861 22405
248 484 56391
644 12 37668
684 689 88163
92 23 72373
184 496 83865
228 790 5122
467 723 52660
796 569 20100
540 819 93353
653 568 75754
497 249 99239
794 546 7666
766 322 59384
788 720 41319
119 432 56892
143 698 7860
864 461 28358
172 602 99387
186 336 66207
46 830 29503
845 621 89630
833 310 72375
196 514 92252
245 294 44794
382 299 55335
673 349 64153
803 542 21712
705 463 92427
491 223 27902
11 793 34764
38 606 85578
368 342 67223
853 334 50947
756 145 54223
180 394 90957
373 638 9371
797 594 86998
328 640 97258
44 347 39760
732 252 28039
108 231 14274
855 654 33918
234 792 98218
178 274 59408
420 595 18120
731 523 41227
351 494 79151
89 189 41015
8 233 37582
718 839 96864
60 822 60796
20 543 68774
245 445 62474
638 136 5677
549 4 36925
711 556 44672
662 557 59184
554 133 64344
542 262 74039
459 823 55837
572 26 68773
631 385 35285
184 288 33420
307 211 51806
229 31 63842
764 626 7502
620 110 92451
333 207 38665
849 703 44731
612 307 87923
45 266 45694
540 771 89804
598 578 83327
355 14 7254
407 743 15372
327 373 41570
520 397 4986
12 19 62064
262 764 59508
820 13 51274
688 355 22797
209 253 78227
146 255 30366
754 396 84845
163 50 76049
497 175 95580
19 466 81519
74 747 97030
444 688 18891
526 709 44578
320 713 59229
41 580 24384
844 560 22015
233 573 24827
858 210 459
378 257 4948
803 836 81527
180 519 7948
218 631 43752
456 42 50477
665 359 38886
565 605 19102
829 75 30362
70 423 66074
393 586 77543
644 167 67732
495 662 36747
867 135 5710
96 677 31945
185 503 73872
240 206 54710
129 540 65045
219 85 79019
688 494 30887
327 321 9700
868 566 3516
668 242 42767
42 420 53216
797 742 19858
299 232 60727
296 175 23376
231 639 24529
32 531 73583
384 660 47315
42 675 52960
741 525 65517
731 321 87420
848 695 10862
829 584 68991
35 761 85021
475 647 93911
522 251 62794
708 194 66433
93 448 79686
126 254 7206
424 781 48201
702 323 16622
620 578 89142
542 651 53158
14 487 17566
740 266 78115
692 587 65962
572 268 41469
192 527 63632
840 1 86034
474 92 18058
704 621 18470
314 800 61453
322 843 23956
135 769 32600
576 334 45954
359 603 94674
435 478 23146
434 227 91663
389 453 13774
579 3 93233
177 805 81754
65 425 96161
668 197 57886
845 318 42497
721 206 98495
858 234 75604
601 433 1793
839 146 35789
59 144 79090
245 266 67659
557 832 13117
390 762 85883
555 442 7082
92 144 89944
767 852 42188
764 62 67969
496 416 9271
277 560 91042
263 274 90329
76 408 34821
640 455 37302
12 143 67253
395 818 89143
363 801 83003
632 424 46431
786 861 63304
867 326 52960
454 586 2536
368 186 64776
432 492 80056
587 793 21280
594 868 62329
202 434 15630
520 668 38106
544 595 46965
96 486 21560
395 196 55436
372 98 36999
844 112 76407
118 63 71823
476 504 51334
318 466 39372
577 383 52193
86 632 98426
315 26 2245
104 610 44610
242 75 3883
509 110 49743
798 291 23892
822 484 67740
455 862 89717
388 593 69742
363 239 25417
749 247 63394
494 37 91134
602 237 6804
260 818 78869
639 177 21570
269 424 65254
352 475 67398
365 619 23019
411 486 34396
326 10 52720
38 418 79235
516 304 78425
26 81 70985
585 724 66352
251 24 31294
449 407 37565
541 222 43973
724 133 8106
473 200 43751
229 695 68634
638 185 34399
775 418 99104
141 549 50749
767 118 14156
529 312 37036
535 223 43345
442 385 91574
863 844 37848
177 47 67651
603 236 69785
77 671 32233
66 9 57685
184 855 76584
786 64 72439
525 591 43577
224 330 69683
79 140 92750
477 681 7735
676 454 15475
58 39 15759
199 47 26062
84 505 59481
437 380 92282
670 193 8782
187 185 37361
509 693 19740
86 577 62945
535 625 9066
207 752 90501
844 633 25363
804 855 62783
837 770 87887
564 375 69234
92 434 94512
225 831 26787
162 374 38907
770 175 31678
674 705 4621
382 91 21157
367 710 91449
385 602 66327
820 766 71955
422 72 60147
708 212 50114
720 599 70383
276 603 37440
